State,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Area_408,Area_415,Area_510,Total_minutes,Total_calls,Avg_min_per_call,CS_calls_per_tenure,Intl_percent
18,0.34712706562441303,0,0,-0.6012446349171208,0.06403580449544857,-0.19316696457845894,2.9838719523091095,-1.0814780334469631,0.32409181381795854,-0.5017489622054662,-0.5482969019363597,-0.21274704529265132,-0.4230983950399629,0,True,False,False,1.8729922289185552,-1.0149352670399345,2.267053214112001,-0.32236650483908597,-1.1144155396907192
15,-0.9277305311690159,0,0,-0.6012446349171208,-0.9347562433517982,1.7693976260358912,0.506112594440006,-0.923033345723477,0.1833108044942344,0.5400532485285926,0.8773498521482391,0.5935159047652949,1.828550244521116,1,False,True,False,-0.1702982588317654,0.8959141181979406,-0.6690770143958658,0.9306801707818207,0.7707117247966705
34,1.4258527244496222,0,0,-0.6012446349171208,2.7395004236386145,-1.6650904075392214,2.3035448499859927,-0.1836248030138749,-0.7860670025634091,1.3834169429323544,-1.7244554740561535,1.8029103298522142,1.828550244521116,1,False,True,False,2.5045547433141078,-0.14636736465908226,2.015182730984494,0.06742451540058668,-1.9815616828341616
40,0.20002811214824814,0,0,-0.6012446349171208,-1.271893631343558,0.10121772401369357,-1.329562900585682,0.08044967652526867,-0.20283139250798066,0.2423954740331472,-0.9047085904575092,0.5935159047652949,0.3274511514803967,0,False,True,False,-1.6799690820125823,0.28791658653134394,-1.5059283939732817,-0.09684455741470394,-0.06065305087108821
11,-1.3199944071054557,0,0,-0.6012446349171208,-1.1114378691442715,0.7881153307287161,0.23639711600421398,0.4501539478800697,-0.42204753559777974,-0.5017489622054662,0.30709115051439967,-1.4221414703795707,-0.4230983950399629,0,False,False,True,-0.788351414630625,0.316868849944039,-0.84382889366602,-0.04533825458358697,0.6349796175934078
0,-1.6387088063038129,0,1,1.544066553508626,-0.6246619613486816,1.3278205931476623,-0.822336776960163,-1.0814780334469631,-1.415559229968061,0.4408339903634441,1.5188908914863088,0.5935159047652949,-1.1736479415603225,0,True,False,False,-1.5944098109001719,0.4905824304202095,-1.524786251803002,-0.5260637476740117,2.586539560290372
22,-0.9277305311690159,0,0,-0.6012446349171208,0.5472059648258858,0.9353076750247924,-0.8203239748822841,1.136747594681843,-1.3069567370611885,0.8873206521066122,1.055555696408814,0.1903844297363218,1.0780006980007564,0,False,True,False,-0.8153701318240174,1.7065774937534028,-1.4482949780370957,0.5664941911678626,1.3755602555671291
13,0.396160050116468,0,0,-0.6012446349171208,-0.39389412357892095,0.6409229864326398,0.5624710526206195,0.8726731151426994,-1.1360083685966664,-0.45213933312289195,-0.5126557330842443,-0.6158785203216244,2.5790997910414757,1,False,True,False,-0.5834594759140647,0.5484869572455997,-0.8025614725168084,0.47544769626437305,-0.2545482220012023
45,-2.2761376047005273,0,0,-0.6012446349171208,0.0928817842166686,0.5427947569019224,-0.2647906013876681,-1.8208865761565651,1.6715671887736037,-2.1388667219304156,0.41401465707074486,0.5935159047652949,0.3274511514803967,0,True,False,False,0.8586645542832693,-1.883503169420787,2.200993278352548,3.8441680076934857,-0.11475732691401123
48,-0.8541810544309335,0,0,-0.6012446349171208,-0.5795901180342752,-1.5178980632431454,0.8684169684582339,3.3549732228106492,-1.4055034435877949,0.14317621586799875,0.6635028390355494,-0.6158785203216244,1.0780006980007564,0,False,True,False,-0.6420000298330801,0.9827709084360259,-1.042479752358333,0.5189916720877811,0.8773661997813637
23,-0.7070821009547686,0,1,1.7585976723512007,0.22990018789246405,-0.48755165317061144,0.8603657601467176,-0.23643969892170363,-1.2405885469514326,-0.40252970404031774,1.5545320603384236,-0.6158785203216244,0.3274511514803967,0,False,False,True,-0.02056953438504948,-0.6964603695002888,0.3624160817574895,0.11490357644655462,1.2584991440393511
